"date","alertedSensor","sound","humidity","pressure","temperature","picture","pitch","yaw","roll"
"2020-11-12T02:43:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:43:37Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:43:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:43:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:43:54Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:43:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:04Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:10Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:21Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:26Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:32Z","null","null",30,600,25,"null","","",""
"2020-11-12T02:44:37Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:43Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:53Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:44:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:04Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:09Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:20Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:45:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:19Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:30Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:46:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:07Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:47:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:40Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:48:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:07Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:23Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:29Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:34Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:39Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:45Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:50Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:49:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:01Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:06Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:12Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:29Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:50:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:07Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:29Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:40Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:51:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:07Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:12Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:23Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:28Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:33Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:39Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:44Z","null","null",30,601,25,"null","","",""
"2020-11-12T02:52:50Z","null","null",30,601,25,"null","","",""
